PLUCode,Name
3111,Red-Fleshed (Solo Sunrise) Papaya/pawpaw
3112,Meridol Papaya/pawpaw
3113,Flat White Flesh (Saturn type) Peaches
3114,Extra Large Green Mango
3115,Flat Yellow Flesh Peaches
3116,Small Yellow Flesh Peaches
3117,Large Yellow Flesh Peaches
3118,Starkrimson Pears
3119,"Small Bell, Greenhouse Peppers (capsicums)"
3120,"Large Bell, Greenhouse Peppers (capsicums)"
3121,"Bell, Greenhouse Peppers (capsicums)"
3122,"Bell, Greenhouse Peppers (capsicums)"
3123,"Bell, Greenhouse Peppers (capsicums)"
3124,"Bell, Greenhouse Peppers (capsicums)"
3125,Habanero Peppers (capsicums)
3126,Retailer Assigned Plumcot (interspecific plum)
3127,Medium Pomegranate
3128,Purple Potato
3129,Pummelo Grapefruit
3130,Jumbo Pumpkin
3131,Decorative (Painted) Pumpkin
3132,White Pumpkin
3133,White Pumpkin
3134,Pie Pumpkin Pumpkin
3135,Ornamental Gourd
3136,Sapodillo/nispero
3137,White Sapote
3138,Black Sapote
3139,Savory
3140,Cucuzza Squash
3141,Opo Squash
3142,Carnival Squash
3143,Acorn Squash
3144,Fall Glo Tangerines/mandarins
3145,Plum/Italian/Saladette/Roma Tomatoes
3146,Cherry Tomatoes
3147,Cherry Tomatoes
3148,Regular Tomatoes
3149,Regular Tomatoes
3150,Cocktail/Intermediate Tomatoes
3151,"Large Vine Ripe, Regular Tomatoes"
3152,Melogold Grapefruit
3153,Medium Delta Seedless Oranges
3154,Large Delta Seedless Oranges
3155,Medium Midknight Oranges
3156,Large Midknight Oranges
3157,X-Lrg White Grapefruit
3158,X-Lrg White Grapefruit
3159,X-Lrg White Grapefruit
3160,Synonymous with Chinese Broccoli Gai lan
3161,Baby Gai (gui) choy (chinese or indian mustard)
3162,Synonymous with Water Spinach Ong choy
3163,Shanghai Bok choy (pak choi)
3164,Yu choy
3165,Treviso Radicchio
3166,Tuscan Cabbage
3167,Frisee
3168,Castlefranco Radicchio
3169,Catalogna Lettuce
3170,Retailer Assigned For use with all commodities
3171,Retailer Assigned For use with all commodities
3172,Retailer Assigned For use with all commodities
3173,Retailer Assigned For use with all commodities
3174,Retailer Assigned For use with all commodities
3175,Retailer Assigned For use with all commodities
3176,Retailer Assigned For use with all commodities
3177,Retailer Assigned For use with all commodities
3178,Retailer Assigned For use with all commodities
3179,Retailer Assigned For use with all commodities
3180,Retailer Assigned For use with all commodities
3181,Retailer Assigned For use with all commodities
3182,Retailer Assigned For use with all commodities
3183,Retailer Assigned For use with all commodities
3184,Retailer Assigned For use with all commodities
3185,Retailer Assigned For use with all commodities
3186,Retailer Assigned For use with all commodities
3187,Retailer Assigned For use with all commodities
3188,Retailer Assigned For use with all commodities
3189,Retailer Assigned For use with all commodities
3190,Retailer Assigned For use with all commodities
3191,Retailer Assigned For use with all commodities
3192,Retailer Assigned For use with all commodities
3193,Retailer Assigned For use with all commodities
3194,Retailer Assigned For use with all commodities
3195,Retailer Assigned For use with all commodities
3196,Retailer Assigned For use with all commodities
3197,Retailer Assigned For use with all commodities
3198,Retailer Assigned For use with all commodities
3199,Retailer Assigned For use with all commodities
3200,Retailer Assigned For use with all commodities
3201,Retailer Assigned For use with all commodities
3202,Retailer Assigned For use with all commodities
3203,Retailer Assigned For use with all commodities
3204,Retailer Assigned For use with all commodities
3205,Retailer Assigned For use with all commodities
3206,Retailer Assigned For use with all commodities
3207,Retailer Assigned For use with all commodities
3208,Retailer Assigned For use with all commodities
3209,Retailer Assigned For use with all commodities
3210,Retailer Assigned For use with all commodities
3211,Retailer Assigned For use with all commodities
3212,Retailer Assigned For use with all commodities
3213,Retailer Assigned For use with all commodities
3214,Retailer Assigned For use with all commodities
3215,Retailer Assigned For use with all commodities
3216,Retailer Assigned For use with all commodities
3217,Retailer Assigned For use with all commodities
3218,Retailer Assigned For use with all commodities
3219,Retailer Assigned For use with all commodities
3220,Retailer Assigned For use with all commodities
3221,Retailer Assigned For use with all commodities
3222,Retailer Assigned For use with all commodities
3223,Retailer Assigned For use with all commodities
3224,Retailer Assigned For use with all commodities
3225,Retailer Assigned For use with all commodities
3226,Retailer Assigned For use with all commodities
3227,Retailer Assigned For use with all commodities
3228,Retailer Assigned For use with all commodities
3229,Retailer Assigned For use with all commodities
3230,Retailer Assigned For use with all commodities
3231,Retailer Assigned For use with all commodities
3232,Retailer Assigned For use with all commodities
3233,Retailer Assigned For use with all commodities
3234,Retailer Assigned For use with all commodities
3235,Retailer Assigned For use with all commodities
3236,Retailer Assigned For use with all commodities
3237,Retailer Assigned For use with all commodities
3238,Retailer Assigned For use with all commodities
3239,Retailer Assigned For use with all commodities
3240,Retailer Assigned For use with all commodities
3241,Retailer Assigned For use with all commodities
3242,Retailer Assigned For use with all commodities
3243,Retailer Assigned For use with all commodities
3244,Retailer Assigned For use with all commodities
3245,Retailer Assigned For use with all commodities
3246,Retailer Assigned For use with all commodities
3247,Retailer Assigned For use with all commodities
3248,Retailer Assigned For use with all commodities
3249,Retailer Assigned For use with all commodities
3250,Retailer Assigned For use with all commodities
3251,Retailer Assigned For use with all commodities
3252,Retailer Assigned For use with all commodities
3253,Retailer Assigned For use with all commodities
3254,Retailer Assigned For use with all commodities
3255,Retailer Assigned For use with all commodities
3256,Retailer Assigned For use with all commodities
3257,Retailer Assigned For use with all commodities
3258,Retailer Assigned For use with all commodities
3259,Retailer Assigned For use with all commodities
3260,Retailer Assigned For use with all commodities
3261,Retailer Assigned For use with all commodities
3262,Retailer Assigned For use with all commodities
3263,Retailer Assigned For use with all commodities
3264,Retailer Assigned For use with all commodities
3265,Retailer Assigned For use with all commodities
3266,Retailer Assigned For use with all commodities
3267,Retailer Assigned For use with all commodities
3268,Retailer Assigned For use with all commodities
3269,Retailer Assigned For use with all commodities
3270,Retailer Assigned For use with all commodities
3271,Virginia Gold Apples
3272,Sommerfeld Apples
3273,Golden Beets
3274,Fresh Prunes
3275,Yellow (nyAH-may) Name
3276,White (nyAH-may) Name
3277,Baby Broccoli
3278,Plumcot (interspecific plum)
3279,Golden Kiwifruit
3280,Jumbo Regular Kiwifruit
3281,Orange Seedless Watermelon
3282,Plum/Italian/Saladette/Roma on the vine Tomatoes
3283,Honeycrisp Apples
3284,Extra Large Red Delicious Apples
3285,Extra Large Golden Delicious Apples
3286,Sweet red Italian Onions
3287,Hawaiian plantain Bananas
3288,Retailer Assigned Sweet potato/yam/kumara
3289,Sprite Melon
3290,Large Aurora/Southern Rose Apples
3291,Small Boskoop/Belle de Boskoop Apples
3292,Large Boskoop/Belle de Boskoop Apples
3293,Small Scifresh Apples
3294,Large Scifresh Apples
3295,Small Sciearly Apples
3296,Large Sciearly Apples
3297,Scired Apples
3298,Redfield Apples
3299,Small Sonya Apples
3300,Large Sonya Apples
3301,Large Cripps Red Apples
3302,Large Regular Apricots
3303,Babaco
3304,Loganberries Berries
3305,Black Currants
3306,Medium Charentais Melon
3307,Extra Large Charentais Melon
3308,Watermelon
3309,Lima Oranges
3310,Pera Oranges
3311,Curuba/Banana Passion fruit
3312,Granadilla Passion fruit
3313,Small White Flesh Peaches
3314,Large White Flesh Peaches
3315,Small Scilate Apples
3316,Carmen Pears
3317,Angelys Pears
3318,Large Passe Crassane Pears
3319,Yellow (skin color) Pitahaya
3320,Romanesco/Broccoflower/Caulibroc Cauliflower
3321,With leaves attached Celery root/celeriac
3322,Choy sum/pak choi sum
3323,Baby Choy sum/pak choi sum
3324,Red Escarole/batavian chicory
3325,Lollo Bionda/Coral Lettuce
3326,Lollo Rossa/Coral Lettuce
3327,Mignonette (Compact red-tinged butterhead varieties) Lettuce
3328,"Mixed small-leaf salad (eg Sucrine, Mesclun, Rocket/Arugula) Lettuce"
3329,Oak Leaf Lettuce
3330,Oak Leaf Lettuce
3331,Red Fresh Onions
3332,Baby Spinach
3333,Small Red/Orangy White Flesh Sweet potato/yam/kumara
3334,Large Red/Orangy White Flesh Sweet potato/yam/kumara
3335,Cocktail/Intermediate Tomatoes
3336,Cocktail/Intermediate Tomatoes
3337,(Dried Fruit) Figs
3338,Anise
3339,Belchard Apples
3340,Bertanne/Golden Russet Apples
3341,Charles Ross Apples
3342,Delblush Apples
3343,Dessert Apples
3344,Small Gloster Apples
3345,Large Gloster Apples
3346,Holstein Apples
3347,Laxtons Fortune Apples
3348,Lord Lambourne Apples
3349,Michaelmas Red Apples
3350,Small Reine des Reinettes/King of the Pippins Apples
3351,Large Reine des Reinettes/King of the Pippins Apples
3352,"Reinettes and ""Heritage"" varieties Apples"
3353,St Edmunds Pippin Apples
3354,Ripe/Ready-to-Eat Avocados
3355,Strawberries Berries
3356,Strawberries Berries
3357,Small Regular/Red/Black Cherries
3358,Large Regular/Red/Black Cherries
3359,Chasselas Grapes
3360,Muscat de Hambourg Grapes
3361,Without p/harvest treatment Grapefruit
3362,Without postharvest treatment Lemons
3363,Bowen & Kensington Pride Mango
3364,R2E2 (ArtwoEetwo) Mango
3365,Ripe/Ready-to-Eat Mango
3366,MadroÑa
3367,Glasshouse - Netted varieties Melon
3368,Ogen Melon
3369,Nectavigne (Red Flesh) Nectarine
3370,Maltaise Oranges
3371,Salustiana Oranges
3372,Navelate (and other late Navel varieties) Oranges
3373,Navelina (incl. Newhall) Oranges
3374,Without postharvest treatment Oranges
3375,de Vigne & Sanguine (Red Flesh) Peaches
3376,Alexander Lucas Pears
3377,Louise Bonne Pears
3378,Santa Maria Pears
3379,Mini Pineapple
3380,Perola Pineapple
3381,Soursop
3382,Sugar apple
3383,Small Clementine Tangerines/mandarins
3384,Medium Clementine Tangerines/mandarins
3385,Large Clementine Tangerines/mandarins
3386,Clementine Tangerines/mandarins
3387,Clementine Tangerines/mandarins
3388,Satsuma Tangerines/mandarins
3389,Satsuma Tangerines/mandarins
3390,Arracach
3391,Rouge Salambo (Red) Artichokes
3392,Green Asparagus
3393,White Asparagus
3394,Purple Asparagus
3395,Red Belgian endive (witloof chicory)
3396,"Savoy, Red Cabbage"
3397,Summer Cabbage Cabbage
3398,Chickpeas/Garbanzo Chickpeas
3399,Regular Garlic
3400,Regular Garlic
3401,One-clove types Garlic
3402,Regular Leeks
3403,Baby Leeks
3404,Cep Mushrooms
3405,Fairy Ring Champignon Mushrooms
3406,Grey Mushrooms
3407,Grisette Mushrooms
3408,Horn of Plenty/Black Trumpet Mushrooms
3409,Pioppino Mushrooms
3410,Saffron Milk-Cap Mushrooms
3411,Sheep Polypore Mushrooms
3412,Yellow/Brown Fresh Onions
3413,Tabasco Peppers (capsicums)
3414,Baking Potato
3415,Baking Potato
3416,Bunch Rhubarb
3417,New Zealand Spinach Spinach
3418,Zucchini/Courgette Squash
3419,Borage
3421,Mini Seedless Watermelon
3422,InterSpecific Apricots
3423,Heirloom Tomatoes
3424,Purple/Red Carrots
3425,Small Ellendale Tangerines/mandarins
3426,Medium Ellendale Tangerines/mandarins
3427,Large Ellendale Tangerines/mandarins
3428,Small Honey/Murcott Tangerines/mandarins
3429,Medium Honey/Murcott Tangerines/mandarins
3430,Large Honey/Murcott Tangerines/mandarins
3431,Small Imperial Tangerines/mandarins
3432,Medium Imperial Tangerines/mandarins
3433,Large Imperial Tangerines/mandarins
3434,Tosca Pears
3435,Pinova Apples
3436,Orange Cauliflower
3437,Flat Yellow Nectarine
3438,Ambrosia Apples
3439,White Flesh Flat Nectarine
3440,Large Pomegranate
3600,Antares Apples
3601,Huaguan Apples
3602,Belgica Apples
3603,Minneiska Apples
3604,Emmons Apples
3605,Nicoter Apples
3606,Sweet Sensation Pears
3607,Mariri Red Apples
3608,Large Sciros Apples
3609,Red Plumcot (interspecific plum)
3610,Green Plumcot (interspecific plum)
3611,Black Plumcot (interspecific plum)
3612,Nicogreen Apples
3613,Fuji Brak Apples
3614,Red Apricots
3615,Civni Apples
3616,Large Scilate Apples
3617,Seedless Lemons
3618,Opal Apples
3619,Milwa Apples
3620,Plumac Apples
3621,Francis Mango
3622,Honey Green Melon
3623,Hami Melon
3624,Korean Melon
3625,Minnewashta Apples
3626,Meyer Lemons
3627,Large PremA17 Apples
3628,PremA280 Apples
3629,CIVG198 Apples
3630,Co-op 43 Apples
3631,Pink Pumpkin
3632,Dekopon Tangerines/mandarins
4011,Bananas
4012,Large Navel Oranges
4013,Small Navel Oranges
4014,Small Valencia Oranges
4015,Small Red Delicious Apples
4016,Large Red Delicious Apples
4017,Large Granny Smith Apples
4018,Large Granny Smith Apples
4019,Large McIntosh Apples
4020,Large Golden Delicious Apples
4021,Small Golden Delicious Apples
4022,White/Green Seedless Grapes
4023,Red Seedless Grapes
4024,Small Bartlett/Williams/WBC Pears
4025,Small Anjou Pears
4026,Small Bosc/Beurre Bosc Pears
4027,Small Ruby/Red/Pink Grapefruit
4028,Pint Strawberries Berries
4029,Small Pineapple
4030,Regular Kiwifruit
4031,Seeded Watermelon
4032,Seedless Watermelon
4033,Small Lemons
4034,Large Honeydew/White Honeydew Melon
4035,Small Yellow Flesh Nectarine
4036,Large Yellow Flesh Nectarine
4037,Small Yellow Flesh Peaches
4038,Large Yellow Flesh Peaches
4039,Small Black Plums
4040,Large Black Plums
4041,Small Red Plums
4042,Large Red Plums
4043,Small Yellow Flesh Peaches
4044,Large Yellow Flesh Peaches
4045,Regular/Red/Black Cherries
4046,Small Hass Avocados
4047,Small Ruby/Red/Pink Grapefruit
4048,"Regular (incl. Persian, Tahiti & Bearss) Limes"
4049,Small Cantaloupe/Rockmelon Melon
4050,Large Cantaloupe/Rockmelon Melon
4051,Small Red Mango
4052,Small Regular Papaya/pawpaw
4053,Large Lemons
4054,Raspberries Berries
4055,Tangerines/mandarins
4056,Blue/Black Seedless Grapes
4057,Small Haralson Apples
4058,Large Haralson Apples
4060,Broccoli
4061,Iceberg Lettuce
4062,Green/Ridge/Short Cucumber
4063,Small Regular Tomatoes
4064,Large Regular Tomatoes
4065,"Large Bell, Field Grown Peppers (capsicums)"
4066,Green/French Beans
4067,Zucchini/Courgette Squash
4068,Green (Scallions)/Spring Onions
4069,Green Cabbage
4070,Small Bunch Celery
4071,Small Bunch Celery
4072,Russet Potato
4073,Red Potato
4074,Small Red/Orangy Red Flesh Sweet potato/yam/kumara
4075,Red Leaf Lettuce
4076,Green Leaf Lettuce
4077,"Sweet Corn, White Corn"
4078,"Sweet Corn, Yellow Corn"
4079,Small Cauliflower
4080,Small Green Asparagus
4081,Regular Eggplant (aubergine)
4082,Red Onions
4083,White Potato
4084,Large Artichokes
4085,Large Regular Mushrooms
4086,Yellow Zucchini/Gold Bar/Yellow Courgette Squash
4087,Plum/Italian/Saladette/Roma Tomatoes
4088,Red Bell Peppers
4089,Bunched Red Radish
4090,Regular/Bunched Spinach
4091,White Sweet potato/yam/kumara
4092,Chinese Snow Pea/Pea Pod/Mange Tout Peas
4093,Large Yellow/Brown Onions
4094,Bunch Carrots
4095,Yellow Turnip
4096,Large Ginger Gold Apples
4097,Small Ginger Gold Apples
4098,Small Akane Apples
4099,Large Akane Apples
4100,Small Fireside Apples
4101,Small Braeburn Apples
4102,Large Fireside Apples
4103,Large Braeburn Apples
4104,Small Cortland Apples
4105,Cox Orange Pippin Apples
4106,Large Cortland Apples
4107,Crab Apples
4108,Small Crispin/Mutsu Apples
4109,Small Crispin/Mutsu Apples
4110,Large Crispin/Mutsu Apples
4111,Large Crispin/Mutsu Apples
4112,Small Regent Apples
4113,Small Criterion Apples
4114,Large Regent Apples
4115,Large Criterion Apples
4116,Small Early Apples
4117,Small Early Apples
4118,Large Early Apples
4119,Large Early Apples
4120,Fiesta Apples
4121,Small Elstar Apples
4122,Small Sciros Apples
4123,Large Elstar Apples
4124,Small Empire Apples
4125,Small Empire Apples
4126,Large Empire Apples
4127,Large Empire Apples
4128,Small Cripps Pink Apples
4129,Small Fuji Apples
4130,Large Cripps Pink Apples
4131,Large Fuji Apples
4132,Small Gala Apples
4133,Small Gala Apples
4134,Large Gala Apples
4135,Large Gala Apples
4136,Small Golden Delicious Apples
4137,Large Golden Delicious Apples
4138,Small Granny Smith Apples
4139,Small Granny Smith Apples
4140,Small Idared Apples
4141,Small Jonamac Apples
4142,Large Idared Apples
4143,Large Jonamac Apples
4144,Small Jonagold Apples
4145,Small Jonagold Apples
4146,Large Jonagold Apples
4147,Large Jonagold Apples
4148,Small Jonathan Apples
4149,Small Jonathan Apples
4150,Large Jonathan Apples
4151,Large Jonathan Apples
4152,Small McIntosh Apples
4153,Small McIntosh Apples
4154,Large McIntosh Apples
4155,Small Paulared Apples
4156,Small Gravenstein Apples
4157,Large Paulared Apples
4158,Large Gravenstein Apples
4159,Vidalia Onions
4160,Small Pippin Apples
4161,Texas Sweet Onions
4162,Large Pippin Apples
4163,Walla Walla Onions
4164,Maui Onions
4165,California Sweet Onions
4166,Other Sweet Onions
4167,Small Red Delicious Apples
4168,Large Red Delicious Apples
4169,Small Rome Apples
4170,Small Rome Apples
4171,Large Rome Apples
4172,Large Rome Apples
4173,Small Royal Gala Apples
4174,Large Royal Gala Apples
4176,Southern Snap Apples
4177,Small Spartan Apples
4178,Small Spartan Apples
4179,Large Spartan Apples
4180,Large Spartan Apples
4181,Small Stayman Apples
4182,Sturmer Pippin Apples
4183,Large Stayman Apples
4185,Small York Apples
4186,Small Yellow Bananas
4187,Large York Apples
4188,"Small White Flesh, Tree Ripened, Ready-to-eat Nectarine"
4189,Small Winesap Apples
4190,Small Winesap Apples
4191,Large Winesap Apples
4192,Large Winesap Apples
4193,Retailer Assigned Apples
4194,Retailer Assigned Apples
4195,Retailer Assigned Apples
4196,Retailer Assigned Apples
4197,Retailer Assigned Apples
4198,Retailer Assigned Apples
4199,Retailer Assigned Apples
4200,Retailer Assigned Apples
4201,Retailer Assigned Apples
4202,Retailer Assigned Apples
4203,Retailer Assigned Apples
4204,Retailer Assigned Apples
4205,Retailer Assigned Apples
4206,Retailer Assigned Apples
4207,Retailer Assigned Apples
4208,Retailer Assigned Apples
4209,Retailer Assigned Apples
4210,Retailer Assigned Apples
4211,Retailer Assigned Apples
4212,Retailer Assigned Apples
4213,Retailer Assigned Apples
4214,Retailer Assigned Apples
4215,Retailer Assigned Apples
4216,Retailer Assigned Apples
4217,Retailer Assigned Apples
4218,Small Regular Apricots
4219,Retailer Assigned Apricots
4220,Atemoyas
4221,Small Green Avocados
4222,Small Green Avocados
4223,Large Green Avocados
4224,Large Green Avocados
4225,Large Hass Avocados
4226,Cocktail/Seedless Avocados
4227,Retailer Assigned Avocados
4228,Retailer Assigned Avocados
4229,Burro Bananas
4230,Dominique Bananas
4231,Green Bananas
4232,Leaves Bananas
4233,Manzano/Apple Bananas
4234,Nino Bananas
4235,Plantain/Macho Bananas
4236,Red Bananas
4237,Retailer Assigned Bananas
4238,Retailer Assigned Bananas
4239,Blackberries Berries
4240,Blueberries Berries
4241,Boysenberries Berries
4242,Cranberries Berries
4243,Gooseberries Berries
4244,Raspberries Berries
4245,Raspberries Berries
4246,Pint Strawberries Berries
4247,Quart Strawberries Berries
4248,Quart Strawberries Berries
4249,Bulk 3-pack (3 pints) Strawberries Berries
4250,Bulk 3-pack (3 pints) Strawberries Berries
4251,Long-stemmed Strawberries Berries
4252,Retailer Assigned Berries
4253,Retailer Assigned Berries
4254,Breadfruit
4255,Cactus pear (prickly pear)
4256,Carambola (starfruit)
4257,Cherimoya
4258,Golden/Rainier/White Cherries
4259,Retailer Assigned Cherries
4260,In Husk/Waternut Coconuts
4261,Husked Coconuts
4262,Retailer Assigned Coconuts
4263,Fresh Dates
4264,Retailer Assigned Dates
4265,Feijoa
4266,Black Figs
4267,Brown Figs
4268,White/Green Figs
4269,Retailer Assigned Figs
4270,Blue/Black Seeded Grapes
4271,Champagne Grapes
4272,Concord Grapes
4273,Red Seeded Grapes
4274,White/Green Seeded Grapes
4275,Retailer Assigned Grapes
4276,Retailer Assigned Grapes
4277,Retailer Assigned Grapes
4278,Retailer Assigned Grapes
4279,Pummelo Grapefruit
4280,Small Ruby/Red/Pink Grapefruit
4281,Large Ruby/Red/Pink Grapefruit
4282,Large Ruby/Red/Pink Grapefruit
4283,Large Ruby/Red/Pink Grapefruit
4284,Small Deep Red Grapefruit
4285,Small Deep Red Grapefruit
4286,Sm Deep Red Grapefruit
4287,Large Deep Red Grapefruit
4288,Large Deep Red Grapefruit
4289,Lrg Deep Red Grapefruit
4290,Small White Grapefruit
4291,Small White Grapefruit
4292,Small White Grapefruit
4293,Large White Grapefruit
4294,Large White Grapefruit
4295,Large White Grapefruit
4296,Retailer Assigned Grapefruit
4297,Retailer Assigned Grapefruit
4298,Retailer Assigned Grapefruit
4299,Guava
4300,Homli fruit
4301,Retailer Assigned Kiwifruit
4302,Kiwano (horned melon)
4303,Kumquat
4304,Retailer Assigned Lemons
4305,Key (incl. Mexican & West Indian) Limes
4306,Retailer Assigned Limes
4307,Longan
4308,Loquats
4309,Lychees
4310,Mamey
4311,Small Green Mango
4312,Small Yellow Mango
4313,Retailer Assigned Mango
4314,Retailer Assigned Mango
4315,Retailer Assigned Mango
4316,Retailer Assigned Mango
4317,Canary/Yellow Honeydew Melon
4318,Small Cantaloupe/Muskmelon Melon
4319,Large Cantaloupe/Muskmelon Melon
4320,Casaba Melon
4321,Cinnabar Melon
4322,Crenshaw Melon
4323,Bulk Strawberries Berries
4324,French Afternoon Melon
4325,French Breakfast Melon
4326,Galia Melon
4327,Orange Flesh/Cantaline Melon
4328,Limequats
4329,Small Honeydew/White Honeydew Melon
4330,Mayan Melon
4331,Mickey Lee / Sugar Baby Watermelon
4332,Muskmelon Melon
4333,Pepino Melon
4334,Persian Melon
4335,Prince Melon
4336,Santa Claus Melon
4337,Saticoy Melon
4338,Sharlin Melon
4339,Spanish/Tendral Melon
4340,Yellow Seeded Watermelon
4341,Yellow Seedless Watermelon
4342,Retailer Assigned (includes pre-cut melons) Melon
4343,Retailer Assigned (includes pre-cut melons) Melon
4344,Retailer Assigned (includes pre-cut melons) Melon
4345,Retailer Assigned (includes pre-cut melons) Melon
4346,Retailer Assigned (includes pre-cut melons) Melon
4347,Retailer Assigned (includes pre-cut melons) Melon
4348,Retailer Assigned (includes pre-cut melons) Melon
4349,Retailer Assigned (includes pre-cut melons) Melon
4350,Retailer Assigned (includes pre-cut melons) Melon
4351,Retailer Assigned (includes pre-cut melons) Melon
4352,Retailer Assigned (includes pre-cut melons) Melon
4353,Retailer Assigned (includes pre-cut melons) Melon
4354,Retailer Assigned (includes pre-cut melons) Melon
4355,Retailer Assigned (includes pre-cut melons) Melon
4356,Retailer Assigned (includes pre-cut melons) Melon
4357,Retailer Assigned (includes pre-cut melons) Melon
4358,Retailer Assigned (includes pre-cut melons) Melon
4359,Retailer Assigned (includes pre-cut melons) Melon
4360,Retailer Assigned (includes pre-cut melons) Melon
4361,Retailer Assigned (includes pre-cut melons) Melon
4362,Retailer Assigned (includes pre-cut melons) Melon
4363,Retailer Assigned (includes pre-cut melons) Melon
4364,Retailer Assigned (includes pre-cut melons) Melon
4365,Retailer Assigned (includes pre-cut melons) Melon
4366,Retailer Assigned (includes pre-cut melons) Melon
4367,Retailer Assigned (includes pre-cut melons) Melon
4368,Retailer Assigned (includes pre-cut melons) Melon
4369,Retailer Assigned (includes pre-cut melons) Melon
4370,Retailer Assigned (includes pre-cut melons) Melon
4371,Retailer Assigned (includes pre-cut melons) Melon
4372,Retailer Assigned (includes pre-cut melons) Melon
4373,Retailer Assigned (includes pre-cut melons) Melon
4374,Retailer Assigned (includes pre-cut melons) Melon
4375,Retailer Assigned (includes pre-cut melons) Melon
4376,Retailer Assigned (includes pre-cut melons) Melon
4377,"Small Yellow Flesh, Tree Ripened, Ready-to-eat Nectarine"
4378,"Large Yellow Flesh, Tree Ripened, Ready-to-eat Nectarine"
4379,Retailer Assigned Nectarine
4380,Retailer Assigned Nectarine
4381,Blood Oranges
4382,Juice Oranges
4383,Minneola Tangelo
4384,Small Navel Oranges
4385,Large Navel Oranges
4386,Small Temple Oranges
4387,Large Temple Oranges
4388,Large Valencia Oranges
4388,Large Valencia Oranges
4389,Retailer Assigned Oranges
4390,Retailer Assigned Oranges
4391,Retailer Assigned Oranges
4392,Retailer Assigned Oranges
4393,Retailer Assigned Oranges
4394,Large Regular Papaya/pawpaw
4395,Cooking/Mexican Papaya/pawpaw
4396,Retailer Assigned Papaya/pawpaw
4397,Purple Passion fruit
4398,Retailer Assigned Passion fruit
4399,Indian Peaches
4400,Small White Flesh Peaches
4401,Large White Flesh Peaches
4402,Small Yellow Flesh Peaches
4403,Large Yellow Flesh Peaches
4404,Retailer Assigned Peaches
4405,Retailer Assigned Peaches
4406,Asian/Nashi Pears
4407,Asian/Nashi Pears
